0,0,-0.266667,0
0,0.05,-0.133572,7.49E-18
0,0.1,-0.0528559,1.09E-17
0,0.15,-0.0059477,1.20E-17
0,0.2,0.0195164,1.17E-17
0,0.25,0.0316917,1.07E-17
0,0.3,0.0358955,9.34E-18
0,0.35,0.0355451,7.95E-18
0,0.4,0.0327954,6.63E-18
0,0.45,0.0289723,5.44E-18
0,0.5,0.024863,4.41E-18
0,0.55,0.020911,3.53E-18
0,0.6,0.017345,2.80E-18
0,0.65,0.0142632,2.19E-18
0,0.7,0.0116885,1.69E-18
0,0.75,0.00960364,1.28E-18
0,0.8,0.00797295,9.46E-19
0,0.85,0.00675609,6.64E-19
0,0.9,0.00591614,4.22E-19
0,0.95,0.00542428,2.05E-19
0,1,0.00526238,0.00E+00
0.05,0,-0.253615,0
0.05,0.05,-0.127035,-0.0189082
0.05,0.1,-0.0502689,-0.0276199
0.05,0.15,-0.0056566,-0.0302582
0.05,0.2,0.0185612,-0.0294641
0.05,0.25,0.0301406,-0.0268959
0.05,0.3,0.0341387,-0.0235668
0.05,0.35,0.0338054,-0.0200724
0.05,0.4,0.0311903,-0.0167421
0.05,0.45,0.0275543,-0.013739
0.05,0.5,0.0236461,-0.0111257
0.05,0.55,0.0198876,-0.00890626
0.05,0.6,0.0164961,-0.00705297
0.05,0.65,0.0135651,-0.00552279
0.05,0.7,0.0111164,-0.00426716
0.05,0.75,0.0091336,-0.00323747
0.05,0.8,0.00758273,-0.00238781
0.05,0.85,0.00642543,-0.00167604
0.05,0.9,0.00562658,-0.00106385
0.05,0.95,0.00515879,-0.000516107
0.05,1,0.00500482,0.00E+00
0.1,0,-0.215738,0
0.1,0.05,-0.108062,-0.0359655
0.1,0.1,-0.0427613,-0.0525361
0.1,0.15,-0.00481179,-0.0575545
0.1,0.2,0.0157891,-0.0560441
0.1,0.25,0.0256391,-0.051159
0.1,0.3,0.0290401,-0.0448267
0.1,0.35,0.0287566,-0.03818
0.1,0.4,0.026532,-0.0318454
0.1,0.45,0.0234391,-0.0261331
0.1,0.5,0.0201146,-0.0211623
0.1,0.55,0.0169174,-0.0169407
0.1,0.6,0.0140324,-0.0134155
0.1,0.65,0.0115391,-0.010505
0.1,0.7,0.00945619,-0.00811662
0.1,0.75,0.00776951,-0.00615803
0.1,0.8,0.00645025,-0.00454188
0.1,0.85,0.00546579,-0.00318802
0.1,0.9,0.00478626,-0.00202356
0.1,0.95,0.00438833,-0.000981694
0.1,1,0.00425735,0.00E+00
